127.0.0.1 - - [01/Aug/2018:05:27:09 +0100] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [01/Aug/2018:05:27:11 +0100] "GET /Event_Management/ HTTP/1.1" 200 402
0:0:0:0:0:0:0:1 - - [01/Aug/2018:05:27:14 +0100] "GET /Event_Management/eventForm.do HTTP/1.1" 500 7370
0:0:0:0:0:0:0:1 - - [01/Aug/2018:05:27:52 +0100] "GET /Event_Management/ HTTP/1.1" 200 402
0:0:0:0:0:0:0:1 - - [01/Aug/2018:05:27:53 +0100] "GET /Event_Management/eventForm.do HTTP/1.1" 500 7370
0:0:0:0:0:0:0:1 - - [01/Aug/2018:05:28:20 +0100] "GET /Event_Management/ HTTP/1.1" 200 402
0:0:0:0:0:0:0:1 - - [01/Aug/2018:05:28:21 +0100] "GET /Event_Management/eventForm.do HTTP/1.1" 200 930
0:0:0:0:0:0:0:1 - - [01/Aug/2018:05:45:11 +0100] "POST /Event_Management/addEvent.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Aug/2018:05:45:11 +0100] "GET /Event_Management/index.jsp?msg=event%20added%20successfully! HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [01/Aug/2018:05:45:21 +0100] "GET /Event_Management/eventForm.do HTTP/1.1" 200 930
0:0:0:0:0:0:0:1 - - [01/Aug/2018:05:45:37 +0100] "POST /Event_Management/addEvent.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Aug/2018:05:45:37 +0100] "GET /Event_Management/index.jsp?msg=event%20added%20successfully! HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [01/Aug/2018:05:45:40 +0100] "GET /Event_Management/eventForm.do HTTP/1.1" 200 930
0:0:0:0:0:0:0:1 - - [01/Aug/2018:05:46:02 +0100] "POST /Event_Management/addEvent.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Aug/2018:05:46:02 +0100] "GET /Event_Management/index.jsp?msg=event%20added%20successfully! HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [01/Aug/2018:05:46:04 +0100] "GET /Event_Management/eventForm.do HTTP/1.1" 200 930
0:0:0:0:0:0:0:1 - - [01/Aug/2018:05:46:26 +0100] "POST /Event_Management/addEvent.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Aug/2018:05:46:26 +0100] "GET /Event_Management/index.jsp?msg=event%20added%20successfully! HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [01/Aug/2018:06:08:58 +0100] "GET /Event_Management/index.jsp?msg=event%20added%20successfully! HTTP/1.1" 200 488
0:0:0:0:0:0:0:1 - - [01/Aug/2018:06:09:00 +0100] "GET /Event_Management/eventRegisterForm.do HTTP/1.1" 500 3912
0:0:0:0:0:0:0:1 - - [01/Aug/2018:06:09:29 +0100] "GET /Event_Management/index.jsp?msg=event%20added%20successfully! HTTP/1.1" 200 488
0:0:0:0:0:0:0:1 - - [01/Aug/2018:06:09:31 +0100] "GET /Event_Management/eventRegisterForm.do HTTP/1.1" 200 726
0:0:0:0:0:0:0:1 - - [01/Aug/2018:06:10:57 +0100] "GET /Event_Management/eventRegisterForm.do HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [01/Aug/2018:06:15:40 +0100] "GET /Event_Management/eventRegisterForm.do HTTP/1.1" 200 834
0:0:0:0:0:0:0:1 - - [01/Aug/2018:06:15:41 +0100] "GET /Event_Management/eventRegisterForm.do HTTP/1.1" 200 834
0:0:0:0:0:0:0:1 - - [01/Aug/2018:06:15:48 +0100] "POST /Event_Management/register.do HTTP/1.1" 200 486
0:0:0:0:0:0:0:1 - - [01/Aug/2018:06:15:51 +0100] "GET /Event_Management/eventRegisterForm.do HTTP/1.1" 200 834
0:0:0:0:0:0:0:1 - - [01/Aug/2018:06:34:22 +0100] "GET /Event_Management/eventRegisterForm.do HTTP/1.1" 200 834
0:0:0:0:0:0:0:1 - - [01/Aug/2018:06:34:44 +0100] "POST /Event_Management/register.do HTTP/1.1" 500 10178
0:0:0:0:0:0:0:1 - - [01/Aug/2018:06:36:01 +0100] "GET /Event_Management/eventRegisterForm.do HTTP/1.1" 200 834
0:0:0:0:0:0:0:1 - - [01/Aug/2018:06:36:07 +0100] "POST /Event_Management/register.do HTTP/1.1" 200 497
